idx,x_type,family,subfamily,code,new,sepa,name,treatment,zone,pathology,level,sessions,time,price,price_vip,price_company,price_session,price_session_next,price_max
75,service,laser,excilite,,, - ,LASER EXCILITE - Hombros - Psoriasis - 1 sesion - 30 min,LASER EXCILITE,Hombros,Psoriasis,-1,1 sesion,30 min,1200,1000,800,,,
76,service,laser,excilite,,, - ,LASER EXCILITE - Manos - Psoriasis - 1 sesion - 30 min,LASER EXCILITE,Manos,Psoriasis,-1,1 sesion,30 min,1200,1000,800,,,
77,service,laser,excilite,,, - ,LASER EXCILITE - Piernas - Psoriasis - 1 sesion - 30 min,LASER EXCILITE,Piernas,Psoriasis,-1,1 sesion,30 min,1200,1000,800,,,
78,service,laser,excilite,,, - ,LASER EXCILITE - Pies - Psoriasis - 1 sesion - 30 min,LASER EXCILITE,Pies,Psoriasis,-1,1 sesion,30 min,1200,1000,800,,,
79,service,laser,excilite,,, - ,LASER EXCILITE - Rostro - Alopecias - 1 sesion - 5 min,LASER EXCILITE,Rostro,Alopecias,-1,1 sesion,5 min,500,300,240,,,
80,service,laser,excilite,,, - ,LASER EXCILITE - Cuello - Alopecias - 1 sesion - 5 min,LASER EXCILITE,Cuello,Alopecias,-1,1 sesion,5 min,500,300,240,,,
81,service,laser,excilite,,, - ,LASER EXCILITE - Ariolas - Alopecias - 1 sesion - 5 min,LASER EXCILITE,Ariolas,Alopecias,-1,1 sesion,5 min,500,300,240,,,
82,service,laser,excilite,,, - ,LASER EXCILITE - Axilas - Alopecias - 1 sesion - 5 min,LASER EXCILITE,Axilas,Alopecias,-1,1 sesion,5 min,500,300,240,,,
83,service,laser,excilite,,, - ,LASER EXCILITE - Pecho - Alopecias - 1 sesion - 5 min,LASER EXCILITE,Pecho,Alopecias,-1,1 sesion,5 min,500,300,240,,,
84,service,laser,excilite,,, - ,LASER EXCILITE - Abdomen - Alopecias - 1 sesion - 5 min,LASER EXCILITE,Abdomen,Alopecias,-1,1 sesion,5 min,500,300,240,,,
85,service,laser,excilite,,, - ,LASER EXCILITE - Brazos - Alopecias - 1 sesion - 5 min,LASER EXCILITE,Brazos,Alopecias,-1,1 sesion,5 min,500,300,240,,,
86,service,laser,excilite,,, - ,LASER EXCILITE - Espalda - Alopecias - 1 sesion - 5 min,LASER EXCILITE,Espalda,Alopecias,-1,1 sesion,5 min,500,300,240,,,
87,service,laser,excilite,,, - ,LASER EXCILITE - Gluteos - Alopecias - 1 sesion - 5 min,LASER EXCILITE,Gluteos,Alopecias,-1,1 sesion,5 min,500,300,240,,,
88,service,laser,excilite,,, - ,LASER EXCILITE - Hombros - Alopecias - 1 sesion - 5 min,LASER EXCILITE,Hombros,Alopecias,-1,1 sesion,5 min,500,300,240,,,
89,service,laser,excilite,,, - ,LASER EXCILITE - Manos - Alopecias - 1 sesion - 5 min,LASER EXCILITE,Manos,Alopecias,-1,1 sesion,5 min,500,300,240,,,
90,service,laser,excilite,,, - ,LASER EXCILITE - Piernas - Alopecias - 1 sesion - 5 min,LASER EXCILITE,Piernas,Alopecias,-1,1 sesion,5 min,500,300,240,,,
91,service,laser,excilite,,, - ,LASER EXCILITE - Pies - Alopecias - 1 sesion - 5 min,LASER EXCILITE,Pies,Alopecias,-1,1 sesion,5 min,500,300,240,,,
92,service,laser,excilite,,, - ,LASER EXCILITE - Rostro - Alopecias - 1 sesion - 15 min,LASER EXCILITE,Rostro,Alopecias,-1,1 sesion,15 min,800,600,480,,,
93,service,laser,excilite,,, - ,LASER EXCILITE - Cuello - Alopecias - 1 sesion - 15 min,LASER EXCILITE,Cuello,Alopecias,-1,1 sesion,15 min,800,600,480,,,
94,service,laser,excilite,,, - ,LASER EXCILITE - Ariolas - Alopecias - 1 sesion - 15 min,LASER EXCILITE,Ariolas,Alopecias,-1,1 sesion,15 min,800,600,480,,,
95,service,laser,excilite,,, - ,LASER EXCILITE - Axilas - Alopecias - 1 sesion - 15 min,LASER EXCILITE,Axilas,Alopecias,-1,1 sesion,15 min,800,600,480,,,
96,service,laser,excilite,,, - ,LASER EXCILITE - Pecho - Alopecias - 1 sesion - 15 min,LASER EXCILITE,Pecho,Alopecias,-1,1 sesion,15 min,800,600,480,,,
97,service,laser,excilite,,, - ,LASER EXCILITE - Abdomen - Alopecias - 1 sesion - 15 min,LASER EXCILITE,Abdomen,Alopecias,-1,1 sesion,15 min,800,600,480,,,
98,service,laser,excilite,,, - ,LASER EXCILITE - Brazos - Alopecias - 1 sesion - 15 min,LASER EXCILITE,Brazos,Alopecias,-1,1 sesion,15 min,800,600,480,,,
99,service,laser,excilite,,, - ,LASER EXCILITE - Espalda - Alopecias - 1 sesion - 15 min,LASER EXCILITE,Espalda,Alopecias,-1,1 sesion,15 min,800,600,480,,,
100,service,laser,excilite,,, - ,LASER EXCILITE - Gluteos - Alopecias - 1 sesion - 15 min,LASER EXCILITE,Gluteos,Alopecias,-1,1 sesion,15 min,800,600,480,,,
101,service,laser,excilite,,, - ,LASER EXCILITE - Hombros - Alopecias - 1 sesion - 15 min,LASER EXCILITE,Hombros,Alopecias,-1,1 sesion,15 min,800,600,480,,,
102,service,laser,excilite,,, - ,LASER EXCILITE - Manos - Alopecias - 1 sesion - 15 min,LASER EXCILITE,Manos,Alopecias,-1,1 sesion,15 min,800,600,480,,,
103,service,laser,excilite,,, - ,LASER EXCILITE - Piernas - Alopecias - 1 sesion - 15 min,LASER EXCILITE,Piernas,Alopecias,-1,1 sesion,15 min,800,600,480,,,
104,service,laser,excilite,,, - ,LASER EXCILITE - Pies - Alopecias - 1 sesion - 15 min,LASER EXCILITE,Pies,Alopecias,-1,1 sesion,15 min,800,600,480,,,
105,service,laser,excilite,,, - ,LASER EXCILITE - Rostro - Alopecias - 1 sesion - 30 min,LASER EXCILITE,Rostro,Alopecias,-1,1 sesion,30 min,1200,1000,800,,,
106,service,laser,excilite,,, - ,LASER EXCILITE - Cuello - Alopecias - 1 sesion - 30 min,LASER EXCILITE,Cuello,Alopecias,-1,1 sesion,30 min,1200,1000,800,,,
