idx,x_type,family,subfamily,code,new,sepa,name,treatment,zone,pathology,level,sessions,time,price,price_vip,price_company,price_session,price_session_next,price_max
68,service,laser,m22,,, - ,LASER M22 IPL - Rostro - Depilacion - 6 sesiones - 15 min,LASER M22 IPL,Rostro,Depilacion,-1,6 sesiones,15 min,4000,3000,2400,,,
69,service,laser,m22,,, - ,LASER M22 IPL - Cuello - Depilacion - 6 sesiones - 15 min,LASER M22 IPL,Cuello,Depilacion,-1,6 sesiones,15 min,4000,3000,2400,,,
70,service,laser,m22,,, - ,LASER M22 IPL - Ariolas - Depilacion - 6 sesiones - 15 min,LASER M22 IPL,Ariolas,Depilacion,-1,6 sesiones,15 min,4000,3000,2400,,,
71,service,laser,m22,,, - ,LASER M22 IPL - Axilas - Depilacion - 6 sesiones - 15 min,LASER M22 IPL,Axilas,Depilacion,-1,6 sesiones,15 min,4000,3000,2400,,,
72,service,laser,m22,,, - ,LASER M22 IPL - Pecho - Depilacion - 6 sesiones - 15 min,LASER M22 IPL,Pecho,Depilacion,-1,6 sesiones,15 min,4000,3000,2400,,,
73,service,laser,m22,,, - ,LASER M22 IPL - Abdomen - Depilacion - 6 sesiones - 15 min,LASER M22 IPL,Abdomen,Depilacion,-1,6 sesiones,15 min,4000,3000,2400,,,
74,service,laser,m22,,, - ,LASER M22 IPL - Espalda - Depilacion - 6 sesiones - 15 min,LASER M22 IPL,Espalda,Depilacion,-1,6 sesiones,15 min,4000,3000,2400,,,
75,service,laser,m22,,, - ,LASER M22 IPL - Hombros - Depilacion - 6 sesiones - 15 min,LASER M22 IPL,Hombros,Depilacion,-1,6 sesiones,15 min,4000,3000,2400,,,
76,service,laser,m22,,, - ,LASER M22 IPL - Manos - Depilacion - 6 sesiones - 15 min,LASER M22 IPL,Manos,Depilacion,-1,6 sesiones,15 min,4000,3000,2400,,,
77,service,laser,m22,,, - ,LASER M22 IPL - Pies - Depilacion - 6 sesiones - 15 min,LASER M22 IPL,Pies,Depilacion,-1,6 sesiones,15 min,4000,3000,2400,,,
78,service,laser,m22,,, - ,LASER M22 IPL - Rostro - Depilacion - 6 sesiones - 30 min,LASER M22 IPL,Rostro,Depilacion,-1,6 sesiones,30 min,6000,5000,4000,,,
79,service,laser,m22,,, - ,LASER M22 IPL - Cuello - Depilacion - 6 sesiones - 30 min,LASER M22 IPL,Cuello,Depilacion,-1,6 sesiones,30 min,6000,5000,4000,,,
80,service,laser,m22,,, - ,LASER M22 IPL - Ariolas - Depilacion - 6 sesiones - 30 min,LASER M22 IPL,Ariolas,Depilacion,-1,6 sesiones,30 min,6000,5000,4000,,,
81,service,laser,m22,,, - ,LASER M22 IPL - Axilas - Depilacion - 6 sesiones - 30 min,LASER M22 IPL,Axilas,Depilacion,-1,6 sesiones,30 min,6000,5000,4000,,,
82,service,laser,m22,,, - ,LASER M22 IPL - Pecho - Depilacion - 6 sesiones - 30 min,LASER M22 IPL,Pecho,Depilacion,-1,6 sesiones,30 min,6000,5000,4000,,,
83,service,laser,m22,,, - ,LASER M22 IPL - Abdomen - Depilacion - 6 sesiones - 30 min,LASER M22 IPL,Abdomen,Depilacion,-1,6 sesiones,30 min,6000,5000,4000,,,
84,service,laser,m22,,, - ,LASER M22 IPL - Brazos - Depilacion - 6 sesiones - 30 min,LASER M22 IPL,Brazos,Depilacion,-1,6 sesiones,30 min,6000,5000,4000,,,
85,service,laser,m22,,, - ,LASER M22 IPL - Espalda - Depilacion - 6 sesiones - 30 min,LASER M22 IPL,Espalda,Depilacion,-1,6 sesiones,30 min,6000,5000,4000,,,
86,service,laser,m22,,, - ,LASER M22 IPL - Gluteos - Depilacion - 6 sesiones - 30 min,LASER M22 IPL,Gluteos,Depilacion,-1,6 sesiones,30 min,6000,5000,4000,,,
87,service,laser,m22,,, - ,LASER M22 IPL - Hombros - Depilacion - 6 sesiones - 30 min,LASER M22 IPL,Hombros,Depilacion,-1,6 sesiones,30 min,6000,5000,4000,,,
88,service,laser,m22,,, - ,LASER M22 IPL - Manos - Depilacion - 6 sesiones - 30 min,LASER M22 IPL,Manos,Depilacion,-1,6 sesiones,30 min,6000,5000,4000,,,
89,service,laser,m22,,, - ,LASER M22 IPL - Piernas - Depilacion - 6 sesiones - 30 min,LASER M22 IPL,Piernas,Depilacion,-1,6 sesiones,30 min,6000,5000,4000,,,
90,service,laser,m22,,, - ,LASER M22 IPL - Pies - Depilacion - 6 sesiones - 30 min,LASER M22 IPL,Pies,Depilacion,-1,6 sesiones,30 min,6000,5000,4000,,,
