idx,x_type,family,subfamily,code,new,sepa,name,treatment,zone,pathology,level,sessions,time,price,price_vip,price_company,price_session,price_session_next,price_max
68,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Cuerpo - Lunar - Grado 2 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Lunar,Grado 2,1 sesion,-1,1500,1000,800,,,
69,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Cuerpo - Lunar - Grado 3 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Lunar,Grado 3,1 sesion,-1,2000,1500,1200,,,
70,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Cuerpo - Lunar - Grado 4 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Lunar,Grado 4,1 sesion,-1,2500,2000,1600,,,
71,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Cuerpo - Lunar - Grado 5 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Lunar,Grado 5,1 sesion,-1,3000,2500,2000,,,
72,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Cuerpo - Quiste - Grado 1 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Quiste,Grado 1,1 sesion,-1,1000,500,400,,,
73,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Cuerpo - Quiste - Grado 2 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Quiste,Grado 2,1 sesion,-1,1500,1000,800,,,
74,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Cuerpo - Quiste - Grado 3 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Quiste,Grado 3,1 sesion,-1,2000,1500,1200,,,
75,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Cuerpo - Quiste - Grado 4 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Quiste,Grado 4,1 sesion,-1,2500,2000,1600,,,
76,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Cuerpo - Quiste - Grado 5 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Quiste,Grado 5,1 sesion,-1,3000,2500,2000,,,
77,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Cuerpo - Verruga - Grado 1 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Verruga,Grado 1,1 sesion,-1,1000,500,400,,,
78,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Cuerpo - Verruga - Grado 2 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Verruga,Grado 2,1 sesion,-1,1500,1000,800,,,
79,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Cuerpo - Verruga - Grado 3 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Verruga,Grado 3,1 sesion,-1,2000,1500,1200,,,
80,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Cuerpo - Verruga - Grado 4 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Verruga,Grado 4,1 sesion,-1,2500,2000,1600,,,
81,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Cuerpo - Verruga - Grado 5 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Verruga,Grado 5,1 sesion,-1,3000,2500,2000,,,
82,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Cuerpo - Cicatriz - Grado 1 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Cicatriz,Grado 1,1 sesion,-1,1000,500,400,,,
83,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Cuerpo - Cicatriz - Grado 2 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Cicatriz,Grado 2,1 sesion,-1,1500,1000,800,,,
84,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Cuerpo - Cicatriz - Grado 3 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Cicatriz,Grado 3,1 sesion,-1,2000,1500,1200,,,
85,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Cuerpo - Cicatriz - Grado 4 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Cicatriz,Grado 4,1 sesion,-1,2500,2000,1600,,,
86,service,laser,co2,,, - ,LASER CO2 FRACCIONAL - Localizado Cuerpo - Cicatriz - Grado 5 - 1 sesion,LASER CO2 FRACCIONAL,Localizado Cuerpo,Cicatriz,Grado 5,1 sesion,-1,3000,2500,2000,,,
